p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
4.0268021080487094e-10	1.281270959685035	0.726	0.397	1.0964982140216636e-5	14	APPL1
4.0701385207764046e-10	1.5127810837412166	0.435	0.149	1.1082987192074152e-5	14	PHYH
4.1285007256382085e-10	1.1051407340724713	0.79	0.423	1.124190747591284e-5	14	ZNF652
4.3579154929997036e-10	1.603056281525701	0.548	0.237	1.1866603887438197e-5	14	TYW1B
4.3887765110012686e-10	0.708051710425897	0.984	0.902	1.1950638439456456e-5	14	PCM1
4.48499492193044e-10	1.468693175730079	0.532	0.221	1.2212641172416588e-5	14	CLN8
4.665450479709636e-10	1.3403189235178408	0.629	0.288	1.2704021656249338e-5	14	AREG
4.779756872913555e-10	1.632508982632879	0.419	0.142	1.301527796494361e-5	14	GM2A
4.794309242745458e-10	0.8003059730804045	0.935	0.685	1.3054904067995882e-5	14	NT5C2
4.910014340325274e-10	1.0808425179709051	0.758	0.397	1.336996904870573e-5	14	DCUN1D1
4.918506219595042e-10	1.7279318687465837	0.323	0.09	1.3393092435957308e-5	14	SLC18B1
5.099590736038914e-10	1.0863734890698478	0.629	0.269	1.3886185574233962e-5	14	SH3TC1
5.123936231838332e-10	1.3004362713515092	0.645	0.284	1.3952478359295778e-5	14	POLG
5.137215252448019e-10	1.5268080691607304	0.452	0.163	1.3988637132415954e-5	14	MTAP
5.485784147038177e-10	1.1015608298098634	0.516	0.184	1.4937790232384957e-5	14	PLCXD2
5.666105312572262e-10	1.035084397524687	1	0.778	1.542880476613427e-5	14	ZHX2
5.722570936449362e-10	0.9128569358522296	0.935	0.62	1.5582560659951622e-5	14	KLC1
5.840409368542294e-10	1.3768924873912387	0.548	0.218	1.5903434710540666e-5	14	SRFBP1
5.98026418711925e-10	1.27120227956474	0.548	0.203	1.6284259381525727e-5	14	PIM2
6.088681627129398e-10	0.9625506025710728	0.532	0.204	1.657948007067335e-5	14	TBC1D9
6.220664128733925e-10	1.8102917478461495	0.419	0.148	1.6938868422542488e-5	14	PLAAT3
6.57399122853751e-10	1.5366534810868744	0.323	0.09	1.790097811530764e-5	14	HS6ST1
6.939482746826194e-10	1.1825200726727507	0.839	0.548	1.8896211519607737e-5	14	UBE2J1
7.05087937736354e-10	0.946660872389062	0.774	0.383	1.919954454456093e-5	14	SIDT1
7.261595098170921e-10	1.155046187744302	0.645	0.289	1.9773323452319414e-5	14	SEC24A
7.939498610656462e-10	1.1877002707017683	0.887	0.631	2.1619254716817545e-5	14	IFRD1
8.100203184951823e-10	0.9942194503033056	0.903	0.595	2.2056853272623822e-5	14	DENND4C
8.25358331404197e-10	1.2168533605235012	0.677	0.336	2.247450736413629e-5	14	TANC2
8.361073848318108e-10	1.0311759007257897	0.823	0.491	2.276720408897021e-5	14	SERTAD2
8.705764653491401e-10	0.967306541525586	0.855	0.492	2.3705797151457088e-5	14	RNF115
9.108945455729351e-10	1.035491030069722	0.855	0.517	2.4803658475951028e-5	14	UFL1
9.267819915633728e-10	1.570515595324577	0.758	0.415	2.5236273630270637e-5	14	BANP
9.441329516159216e-10	1.1569723307096802	0.806	0.47	2.5708740272501544e-5	14	COMMD10
9.870169332434812e-10	1.1410134636793503	0.79	0.444	2.687647109221999e-5	14	SEC23B
9.90324961023165e-10	1.5040212810762672	0.613	0.286	2.696654868866079e-5	14	RHBDD1
1.063108846361494e-9	0.9380436099363616	0.645	0.273	2.894845388642348e-5	14	FAM228B
1.1011194109898342e-9	0.9733248400391136	0.952	0.779	2.9983481561253185e-5	14	ANKRD17
1.1193190569386616e-9	0.6578069803472442	1	0.911	3.047905792043976e-5	14	UTRN
1.123185545800248e-9	1.7067726890106767	0.306	0.085	3.058434241214075e-5	14	GIT1
1.241387992049281e-9	1.107403094461596	0.774	0.446	3.380299502350192e-5	14	HECTD4
1.296932148429632e-9	1.7358134023104688	0.403	0.137	3.531546240173888e-5	14	CDK2AP2
